"County,State",MedIncome,Population,Value
"Drew,Arkansas",37148,18509.0,152000.0
"Faulkner,Arkansas",37598,113237.0,205000.0
"Franklin,Arkansas",34275,18125.0,
"Fulton,Arkansas",28994,12245.0,162500.0
"Garland,Arkansas",40004,96024.0,224900.0
"Grant,Arkansas",38201,17853.0,169750.0
"Greene,Arkansas",34895,42090.0,144750.0
"Hempstead,Arkansas",32515,22609.0,138500.0
"Hot Spring,Arkansas",30580,32923.0,169000.0
"Howard,Arkansas",35292,13789.0,
"Independence,Arkansas",35086,36647.0,169900.0
"Izard,Arkansas",30608,13696.0,139450.0
"Jackson,Arkansas",35880,17997.0,60450.0
"Jefferson,Arkansas",35356,77435.0,94000.0
"Johnson,Arkansas",28970,25540.0,139900.0
"Lafayette,Arkansas",36292,7645.0,
"Lawrence,Arkansas",35126,17415.0,83500.0
"Lee,Arkansas",27619,10424.0,
"Lincoln,Arkansas",27002,14134.0,
"Little River,Arkansas",34086,13171.0,135000.0
"Logan,Arkansas",34490,22353.0,113500.0
"Lonoke,Arkansas",38764,68356.0,162450.0
"Madison,Arkansas",35496,15717.0,190000.0
"Marion,Arkansas",30743,16653.0,174900.0
"Miller,Arkansas",33401,43462.0,169900.0
"Mississippi,Arkansas",31428,46480.0,99900.0
"Monroe,Arkansas",32651,8149.0,
"Montgomery,Arkansas",30834,9487.0,210950.0
"Nevada,Arkansas",34180,8997.0,
"Newton,Arkansas",28808,8330.0,144250.0
"Ouachita,Arkansas",36907,26120.0,97450.0
"Perry,Arkansas",34877,10445.0,
"Phillips,Arkansas",31128,21757.0,
"Pike,Arkansas",33113,11291.0,150000.0
"Poinsett,Arkansas",32315,24583.0,
"Polk,Arkansas",30751,20662.0,149900.0
"Pope,Arkansas",35261,61754.0,159900.0
"Prairie,Arkansas",35935,8715.0,
"Pulaski,Arkansas",51185,382748.0,185000.0
"Randolph,Arkansas",33486,17969.0,109900.0
"St. Francis,Arkansas",27948,28258.0,
"Saline,Arkansas",41397,107118.0,206983.0
"Scott,Arkansas",31401,11233.0,
"Searcy,Arkansas",28511,8195.0,119900.0
"Sebastian,Arkansas",42110,125744.0,155000.0
"Sevier,Arkansas",31436,17058.0,
"Sharp,Arkansas",32012,17264.0,98000.0
"Stone,Arkansas",31086,12394.0,179000.0
"Union,Arkansas",46474,41639.0,
"Van Buren,Arkansas",31176,17295.0,115000.0
"Washington,Arkansas",40247,203065.0,242500.0
"White,Arkansas",35445,77076.0,144000.0
"Woodruff,Arkansas",37545,7260.0,
"Yell,Arkansas",33320,22185.0,
"Alameda,California",76644,1510271.0,827880.0
"Alpine,California",73307,1175.0,425000.0
"Amador,California",44793,38091.0,369450.0
